matrix,row,col
S,8404,13094
I,J,V
4360.0,129.0,-1.0
4366.0,129.0,1.0
344.0,130.0,1.0
3483.0,130.0,-1.0
4243.0,130.0,-1.0
3518.0,131.0,-1.0
3960.0,131.0,1.0
4243.0,131.0,-1.0
4360.0,131.0,1.0
4366.0,131.0,-1.0
3518.0,132.0,-1.0
3960.0,132.0,-1.0
4371.0,132.0,1.0
4378.0,132.0,-1.0
4793.0,132.0,1.0
344.0,133.0,-1.0
2902.0,133.0,1.0
3483.0,133.0,1.0
3518.0,133.0,1.0
3526.0,133.0,-1.0
2902.0,134.0,-1.0
3133.0,134.0,-2.0
3136.0,134.0,2.0
3518.0,134.0,2.0
4889.0,134.0,1.0
2638.0,135.0,1.0
4168.0,135.0,-1.0
4361.0,135.0,-1.0
4367.0,135.0,1.0
4890.0,135.0,1.0
2636.0,136.0,1.0
4167.0,136.0,-1.0
4371.0,136.0,-1.0
4378.0,136.0,1.0
4889.0,136.0,1.0
2638.0,137.0,1.0
4168.0,137.0,-1.0
4373.0,137.0,-1.0
4380.0,137.0,1.0
4890.0,137.0,1.0
1970.0,138.0,1.0
1992.0,138.0,-1.0
2642.0,138.0,1.0
3518.0,138.0,1.0
3526.0,138.0,-1.0
1972.0,139.0,1.0
1994.0,139.0,-1.0
2645.0,139.0,1.0
3521.0,139.0,1.0
3529.0,139.0,-1.0
2636.0,140.0,1.0
3318.0,140.0,1.0
3505.0,140.0,-1.0
4508.0,140.0,-1.0
4661.0,140.0,1.0
2638.0,141.0,1.0
3320.0,141.0,1.0
3506.0,141.0,-1.0
4509.0,141.0,-1.0
4662.0,141.0,1.0
2035.0,142.0,1.0
2213.0,142.0,-1.0
3521.0,142.0,1.0
3549.0,142.0,-1.0
4509.0,142.0,1.0
4751.0,142.0,1.0
4890.0,142.0,-1.0
2311.0,143.0,-1.0
2697.0,143.0,1.0
3518.0,143.0,-1.0
4661.0,143.0,-1.0
4889.0,143.0,1.0
3518.0,144.0,-1.0
